target,feature,rho,abs_rho,n,group,short
k,ts_l8_GNDVI_slope,0.21757204079583153,0.21757204079583153,1085,Temporal,ts_l8_GNDVI_slope
k,ts_l8_GNDVI_std,0.08999837358754718,0.08999837358754718,1085,Temporal,ts_l8_GNDVI_std
k,ts_l8_NDVI_cv,0.06460007787093654,0.06460007787093654,1085,Temporal,ts_l8_NDVI_cv
k,ts_l8_NDVI_mean,-0.11095134788970433,0.11095134788970433,1085,Temporal,ts_l8_NDVI_mean
k,ts_l8_NDVI_slope,0.23938378732740095,0.23938378732740095,1085,Temporal,ts_l8_NDVI_slope
k,ts_l8_NDVI_std,0.024188708208942093,0.024188708208942093,1085,Temporal,ts_l8_NDVI_std
k,ts_l8_SAVI_cv,0.04305921198570986,0.04305921198570986,1085,Temporal,ts_l8_SAVI_cv
k,ts_l8_SAVI_mean,-0.1003804430117285,0.1003804430117285,1085,Temporal,ts_l8_SAVI_mean
k,ts_l8_SAVI_slope,0.18600821896415615,0.18600821896415615,1085,Temporal,ts_l8_SAVI_slope
k,ts_l8_SAVI_std,0.010814135935744897,0.010814135935744897,1085,Temporal,ts_l8_SAVI_std
k,ts_s2_BSI_cv,-0.06594480053000878,0.06594480053000878,1085,Temporal,ts_s2_BSI_cv
k,ts_s2_BSI_mean,-0.2645644254603744,0.2645644254603744,1085,Temporal,ts_s2_BSI_mean
k,ts_s2_BSI_slope,0.09390556446201094,0.09390556446201094,1085,Temporal,ts_s2_BSI_slope
k,ts_s2_BSI_std,-0.2506647971357534,0.2506647971357534,1085,Temporal,ts_s2_BSI_std
k,ts_s2_CIre_cv,-0.012965572861475172,0.012965572861475172,1085,Temporal,ts_s2_CIre_cv
k,ts_s2_CIre_mean,-0.05635412054973942,0.05635412054973942,1085,Temporal,ts_s2_CIre_mean
k,ts_s2_CIre_slope,0.2477059506417813,0.2477059506417813,1085,Temporal,ts_s2_CIre_slope
k,ts_s2_CIre_std,-0.025610881826871313,0.025610881826871313,1085,Temporal,ts_s2_CIre_std
k,ts_s2_Cl_Red_Edge_cv,-0.002032110489391108,0.002032110489391108,1085,Temporal,ts_s2_Cl_Red_Edge_cv
k,ts_s2_Cl_Red_Edge_mean,-0.060354768413438994,0.060354768413438994,1085,Temporal,ts_s2_Cl_Red_Edge_mean
k,ts_s2_Cl_Red_Edge_slope,0.252131845893741,0.252131845893741,1085,Temporal,ts_s2_Cl_Red_Edge_slope
k,ts_s2_Cl_Red_Edge_std,-0.027275104959675507,0.027275104959675507,1085,Temporal,ts_s2_Cl_Red_Edge_std
k,ts_s2_EVI_cv,0.012016411031824182,0.012016411031824182,1085,Temporal,ts_s2_EVI_cv
